qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0701,0.013907,0.003505,0.15,16.6666666667
True,0.3,0.2,0.4,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0784,0.013578,0.00392,0.15,16.6666666667
True,0.5,0.4,0.6,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0712,0.011988,0.00356,0.15,16.6666666667
True,0.7,0.6,0.8,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0624,0.010407,0.00312,0.15,16.6666666667
True,0.9,0.8,1.0,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0503,0.008383,0.002515,0.15,16.6666666667
True,1.1,1.0,1.2,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.039,0.006505,0.00195,0.15,16.6666666667
True,1.3,1.2,1.4,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0312,0.005238,0.00156,0.15,16.6666666667
True,1.5,1.4,1.6,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0234,0.003992,0.00117,0.15,16.6666666667
True,1.7,1.6,1.8,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0147,0.002542,0.000735,0.15,16.6666666667
True,1.9,1.8,2.0,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0131,0.002327,0.000655,0.15,16.6666666667
True,2.1,2.0,2.2,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00705,0.001326,0.000352,0.15,16.6666666667
True,2.3,2.2,2.4,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.005,0.000997,0.00025,0.15,16.6666666667
True,2.5,2.4,2.6,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00459,0.000956,0.00023,0.15,16.6666666667
True,2.7,2.6,2.8,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0033,0.000785,0.000165,0.15,16.6666666667
True,2.9,2.8,3.0,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00215,0.000599,0.000108,0.15,16.6666666667
True,3.1,3.0,3.2,True,11.0,10.5,11.5,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00159,0.000581,8e-05,0.15,16.6666666667
