qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02781,0.000117,0.000133,0.000103,0.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.05802,0.000151,0.000226,0.000203,0.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.05782,0.000145,0.000156,0.000225,0.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.04868,0.000136,0.000131,0.000185,0.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.04047,0.000125,0.000121,0.000138,0.0
True,11.0,10.0,12.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.03381,0.000115,0.000108,0.000115,0.0
True,13.0,12.0,14.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02823,0.000107,9e-05,9.9e-05,0.0
True,15.0,14.0,16.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02385,9.5e-05,7.6e-05,8.1e-05,0.0
True,17.0,16.0,18.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02034,8.9e-05,7.1e-05,7.1e-05,0.0
True,20.0,18.0,22.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01606,6.3e-05,5.1e-05,5.6e-05,0.0
True,24.0,22.0,26.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01217,5.7e-05,4.4e-05,4.4e-05,0.0
True,28.0,26.0,30.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.009275,4.8e-05,3.8e-05,3.2e-05,0.0
True,32.0,30.0,34.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.007339,4.3e-05,3.4e-05,2.6e-05,0.0
True,36.0,34.0,38.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00588,3.9e-05,2.9e-05,2.1e-05,0.0
True,40.0,38.0,42.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.004709,3.5e-05,2.4e-05,1.6e-05,0.0
True,44.0,42.0,46.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.003745,3.1e-05,2.1e-05,1.4e-05,0.0
True,48.0,46.0,50.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.003156,2.7e-05,2e-05,1.2e-05,0.0
True,52.0,50.0,54.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.002568,2.5e-05,1.7e-05,9e-06,0.0
True,57.0,54.0,60.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.002125,2e-05,1.3e-05,7e-06,0.0
True,65.0,60.0,70.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.001494,1.3e-05,1e-05,6e-06,0.0
True,75.0,70.0,80.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000998,1.1e-05,7e-06,4e-06,0.0
True,90.0,80.0,100.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000557,6e-06,4e-06,3e-06,0.0
True,125.0,100.0,150.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000197,2e-06,1e-06,1e-06,0.0
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,5e-05,1e-06,0.0,0.0,0.0
True,250.0,200.0,300.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,1e-05,0.0,0.0,0.0,0.0
True,550.0,300.0,800.0,True,91.0,66.0,116.0,True,1.5,1.0,2.0,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0,0.0,0.0,0.0,0.0
