qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.125,0.0,0.25,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0292,0.0215,0.1
True,0.375,0.25,0.5,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0184,0.00683,0.1
True,0.625,0.5,0.75,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0291,0.00777,0.1
True,0.875,0.75,1.0,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0272,0.00603,0.1
True,1.125,1.0,1.25,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0209,0.00456,0.1
True,1.375,1.25,1.5,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00726,0.00208,0.1
True,1.625,1.5,1.75,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.007,0.00255,0.1
True,1.875,1.75,2.0,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00187,0.00088,0.1
True,2.125,2.0,2.25,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00209,0.00147,0.1
True,2.375,2.25,2.5,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00181,0.00127,0.1
True,2.625,2.5,2.75,True,12.5,12.0,13.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00259,0.00205,0.1
