qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.5,1.0,2.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,5.4144,0.050662,5e-06,0.025,2.0
True,2.5,2.0,3.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,7.1788,0.060208,7e-06,0.025,2.0
True,3.5,3.0,4.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,8.201,0.067081,8e-06,0.025,2.0
True,4.5,4.0,5.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,8.3718,0.067302,8e-06,0.025,2.0
True,5.5,5.0,6.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,8.0368,0.063845,8e-06,0.025,2.0
True,6.5,6.0,7.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,7.5933,0.060664,8e-06,0.025,2.0
True,7.5,7.0,8.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,7.0989,0.057387,7e-06,0.025,2.0
True,8.5,8.0,9.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,6.6078,0.053784,7e-06,0.025,2.0
True,9.5,9.0,10.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,6.0727,0.048709,6e-06,0.025,2.0
True,10.5,10.0,11.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,5.53,0.043159,6e-06,0.025,2.0
True,11.5,11.0,12.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,5.0928,0.039207,5e-06,0.025,2.0
True,12.5,12.0,13.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,4.7779,0.037112,5e-06,0.025,2.0
True,13.5,13.0,14.0,True,91.1876,76.1876,106.1876,True,0.2,0.0,0.4,13000.0,1,dσ/dqT,True,25.0,-2.4,2.4,4.4556,0.035368,4e-06,0.025,2.0
