model,param,value,sigma_norm,sigma_phys,reference,z_vs_reference,frac_uncertainty
baseline_unfrozen,g2,0.506731010472,251.36244391890204,251.36244391890204,0.0,0.0020159376340066473,
baseline_unfrozen,bmax_CS,1.32203289598,587.8577960555037,2645.360082249767,,,2000.9790151922107
baseline_unfrozen,power_CS,0.906248854325,924.5102898657835,1849.020579731567,1.0,-5.070313803030271e-05,
baseline_unfrozen,a1,3.42313359346,1840.959378037697,36819.18756075394,0.0,9.297145918311254e-05,
baseline_unfrozen,a2,0.274657277335,610.6003612125718,12212.007224251434,0.0,2.249075621160516e-05,
baseline_unfrozen,a3,-1.50596992216,1941.0150362085594,38820.30072417119,0.0,-3.8793360537321094e-05,
baseline_unfrozen,a4,0.0562540452478,1405.7512915754457,1405.7512915754457,0.0,4.001706815773598e-05,
baseline_unfrozen,b1,0.60298334132,1950.6424842342715,39012.84968468543,0.0,1.5456018880792043e-05,
baseline_unfrozen,b2,1.14395662887,1507.8693444978335,30157.38688995667,0.0,3.793288301285058e-05,
baseline_unfrozen,b3,-2.13881540867,1589.8402136727623,31796.804273455244,0.0,-6.726510596083821e-05,
baseline_unfrozen,a,0.00302846713674,1953.5520485272477,3907.1040970544955,1.0,-0.000255168920023109,
