,lambda1,lambda2,lambda3,logx0,sigx,amp,BNP,c0,c1
lambda1,180072.24433837566,-41160.73673521215,-14094.472974840455,62977.598021212456,214016.3985300889,-8308.799379225815,91869.75776318983,241356.89858680533,-262177.0527694632
lambda2,-41160.15919432591,272109.2778889506,-274351.1137523815,-2279.3677612503784,100409.07818415613,-334342.58641758736,1924.9753484881844,-242723.1511280394,4445.507388483701
lambda3,-14095.600605702522,-274350.85254641296,449574.330936392,-3565.9133716677197,-54175.12079697882,418658.7954651853,-278187.7071753942,-38415.602887881265,-116414.82866227468
logx0,62977.96244644106,-2280.579498918624,-3564.3850187131534,176231.45931479638,-219136.08896602882,-153201.91499334725,-71515.03897416251,114914.47547137139,-300084.2419785058
sigx,214015.9954232871,100409.4829154075,-54175.14789562367,-219136.22091522868,1115350.4881316063,66053.8551484147,-65408.883266822195,4560.377984659509,-24275.364831382358
amp,-8310.81678151046,-334339.9283217894,418656.3795770443,-153203.84724875167,66054.14413599088,693608.3770450419,198791.69494386404,-91197.47953640232,43767.865914837676
BNP,91868.72719583615,1928.654752409238,-278191.11371015076,-71515.21617751116,-65408.181991942954,198787.5848251574,1094585.4256264358,-991.869067553262,-43774.94405885383
c0,241358.53682607776,-242726.7988968868,-38411.52596132451,114914.15828864696,4561.459884524319,-91190.39236266167,-987.4932877440659,1078234.4409596662,109817.72980710733
c1,-262176.1133742989,4445.669223340708,-116416.27696034532,-300083.3058826027,-24275.636557052327,43765.467958772024,-43775.266986108174,109821.75523615345,1037401.3703328046
